 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,image.tiff:0358-0548,418,116.797,17.060,105,94,173,547.433,358.610,547.247,358.362,89.595,535,343,26,31,37.363,14.245,51.859,0.654,37.443,48821.000,111,1.278,2.320,0,48821.000,1,538,374,55.886,16.139,2.623,0.381,0.889
2,image.tiff:0309-0597,408,126.328,18.299,116,100,194,597.056,308.865,597.061,308.622,75.224,586,297,22,24,26.556,19.561,55.886,0.906,28.425,51542.000,120,1.350,0.388,0,51542.000,1,588,320,50.711,20.557,1.358,0.737,0.940
3,image.tiff:0391-0527,212,126.274,25.539,104,90,212,526.901,391.156,526.835,390.994,58.231,520,381,15,21,22.710,11.886,74.048,0.786,23.259,26770.000,118,0.939,0.181,0,26770.000,1,522,402,64.537,13.195,1.911,0.523,0.885
4,image.tiff:0303-0547,663,129.718,14.132,134,96,183,547.615,303.127,547.519,303.101,97.602,529,291,36,24,36.006,23.445,6.397,0.875,37.108,86003.000,129,-0.130,6.039,0,86003.000,1,529,308,14.036,24.000,1.536,0.651,0.956
5,image.tiff:0363-0569,228,121.496,16.725,111,98,202,568.807,361.632,568.559,361.906,64.120,561,351,17,24,25.643,11.321,66.924,0.697,26.420,27701.000,116,1.482,5.848,0,27701.000,1,564,375,60.524,11.956,2.265,0.441,0.884
6,image.tiff:0264-0591,236,121.915,15.639,118,98,167,589.949,263.614,589.936,263.379,60.616,583,253,16,22,21.923,13.706,63.442,0.807,24.166,28772.000,117,0.999,0.643,0,28772.000,1,583,275,65.556,14.849,1.600,0.625,0.933
7,image.tiff:0279-0566,159,127.660,22.664,108,98,191,565.965,279.456,565.864,279.366,48.169,558,273,17,13,18.043,11.220,21.455,0.861,19.235,20298.000,118,0.868,0.008,0,20298.000,1,558,285,27.897,11.827,1.608,0.622,0.914
8,image.tiff:0365-0586,406,118.751,15.647,111,97,175,585.387,364.990,585.406,364.822,78.361,576,351,20,29,29.194,17.707,77.480,0.831,29.732,48213.000,113,1.330,3.240,0,48213.000,1,581,380,70.346,18.580,1.649,0.607,0.924
9,image.tiff:0298-0627,420,119.050,14.318,116,91,178,628.219,298.924,628.113,298.532,87.044,616,282,23,32,35.275,15.160,58.084,0.697,35.511,50001.000,116,1.087,2.473,0,50001.000,1,618,313,57.653,16.816,2.327,0.430,0.882
10,image.tiff:0334-0514,213,116.202,17.573,104,92,163,514.040,333.631,514.024,333.673,54.248,506,325,16,18,17.635,15.379,58.853,0.910,18.868,24751.000,110,0.924,-1.852,0,24751.000,1,506,338,32.005,15.937,1.147,0.872,0.926
11,image.tiff:0317-0510,287,125.310,20.160,117,90,199,510.078,316.005,509.814,315.844,68.404,500,306,21,22,24.693,14.799,40.383,0.771,26.907,35964.000,120,1.033,-0.122,0,35964.000,1,501,327,41.987,16.263,1.669,0.599,0.894
12,image.tiff:0375-0551,165,127.091,16.273,113,103,170,551.270,376.112,551.271,375.718,54.025,544,365,14,21,20.737,10.131,65.142,0.710,22.847,20970.000,122,1.082,-4.173,0,20970.000,1,546,386,66.801,11.634,2.047,0.489,0.875
13,image.tiff:0406-0471,294,119.561,14.598,115,97,181,470.146,405.286,469.997,405.101,71.692,463,393,17,27,27.639,13.544,69.532,0.719,29.155,35151.000,116,1.511,2.523,0,35151.000,1,463,420,67.834,15.925,2.041,0.490,0.898
14,image.tiff:0301-0483,212,109.392,15.341,103,89,158,482.792,302.283,482.629,302.271,54.338,475,293,16,17,17.065,15.817,117.946,0.902,18.385,23191.000,105,1.151,2.464,0,23191.000,1,477,310,67.620,16.000,1.079,0.927,0.930
