 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
128,image.tiff:0384-0860,146,101.315,7.937,97,85,132,860.568,384.664,860.620,384.634,45.463,853,378,15,13,16.336,11.379,28.694,0.888,17.493,14792,100,2.349,-9.234,0,14792,1,853,389,30.964,12.447,1.436,0.697,0.924
129,image.tiff:0392-0815,143,103.189,6.469,98,90,126,816.192,392.248,816.127,392.296,46.349,808,385,15,14,17.656,10.312,38.830,0.836,18.601,14756,102,-2.497,61.494,0,14756,1,808,397,36.254,11.190,1.712,0.584,0.923
130,image.tiff:0359-0837,136,109.199,8.894,111,91,128,837.890,358.831,837.869,358.968,49.044,831,350,12,18,19.113,9.060,71.818,0.711,19.698,14851,109,0.392,-4.831,0,14851,1,833,368,66.038,10.599,2.110,0.474,0.842
131,image.tiff:0407-0798,128,107.086,8.883,104,90,130,797.844,407.055,797.642,407.056,45.873,789,402,18,10,18.061,9.023,11.621,0.764,18.682,13707,106,2.602,-35.578,0,13707,1,789,411,15.524,9.816,2.002,0.500,0.892
132,image.tiff:0418-0801,156,103.603,8.446,97,87,133,801.859,418.692,801.800,418.674,51.252,792,412,19,13,21.205,9.367,29.855,0.746,21.954,16162,103,2.145,-17.216,0,16162,1,792,424,30.069,10.293,2.264,0.442,0.918
133,image.tiff:0407-0832,127,104.866,7.448,103,89,122,832.642,407.776,832.638,407.836,42.870,826,401,13,13,16.111,10.037,44.010,0.868,17.029,13318,104,-1.318,27.014,0,13318,1,826,413,40.236,10.607,1.605,0.623,0.937
134,image.tiff:0415-0865,168,100.756,8.867,93,84,133,865.262,415.381,865.210,415.278,50.754,856,410,19,11,20.054,10.667,17.097,0.820,21.024,16927,99,0.015,13.412,0,16927,1,856,420,25.346,11.000,1.880,0.532,0.955
135,image.tiff:0417-0926,191,100.560,6.131,100,87,119,926.401,417.668,926.443,417.620,51.007,918,410,17,15,17.674,13.760,150.054,0.923,18.788,19207,100,0.697,-10.534,0,19207,1,918,413,154.799,14.704,1.284,0.779,0.925
136,image.tiff:0429-0862,146,97.281,7.516,92,83,125,862.034,429.349,862.021,429.279,45.986,854,423,16,13,16.992,10.940,26.634,0.868,17.493,14203,97,3.753,-49.862,0,14203,1,855,434,30.964,11.632,1.553,0.644,0.910
137,image.tiff:0433-0878,185,99.946,6.816,97,87,123,877.835,432.581,878.014,432.543,56.936,867,427,22,12,22.744,10.357,12.119,0.717,22.847,18490,99,-2.297,51.605,0,18490,1,867,438,23.199,11.435,2.196,0.455,0.881
